Product: Daily Heating Degree Days
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20170101|20170102|20170103|20170104|20170105|20170106|20170107|20170108|20170109|20170110|20170111|20170112|20170113|20170114|20170115|20170116|20170117|20170118|20170119|20170120|20170121|20170122|20170123|20170124|20170125|20170126|20170127|20170128|20170129|20170130|20170131|20170201|20170202|20170203|20170204|20170205|20170206|20170207|20170208|20170209|20170210|20170211|20170212|20170213|20170214|20170215|20170216|20170217|20170218|20170219|20170220|20170221|20170222|20170223|20170224|20170225|20170226|20170227|20170228|20170301|20170302|20170303|20170304|20170305|20170306|20170307|20170308|20170309|20170310|20170311|20170312|20170313|20170314|20170315|20170316|20170317|20170318|20170319|20170320|20170321|20170322|20170323|20170324|20170325|20170326|20170327|20170328|20170329|20170330|20170331|20170401|20170402|20170403|20170404|20170405|20170406|20170407|20170408|20170409|20170410|20170411|20170412|20170413|20170414|20170415|20170416|20170417|20170418|20170419|20170420|20170421|20170422|20170423|20170424|20170425|20170426|20170427|20170428|20170429|20170430|20170501|20170502|20170503|20170504|20170505|20170506|20170507|20170508|20170509|20170510|20170511|20170512|20170513|20170514|20170515|20170516|20170517|20170518|20170519|20170520|20170521|20170522|20170523|20170524|20170525|20170526|20170527|20170528|20170529|20170530|20170531|20170601|20170602|20170603|20170604|20170605|20170606|20170607|20170608|20170609|20170610|20170611|20170612|20170613|20170614|20170615|20170616|20170617|20170618|20170619|20170620|20170621|20170622|20170623|20170624|20170625
AL|11|4|4|14|23|29|39|39|30|18|6|0|1|3|4|3|1|3|4|1|3|4|8|14|10|13|25|23|22|20|11|8|12|17|23|19|9|6|2|17|15|7|0|9|12|12|18|15|10|4|4|6|2|1|0|6|17|13|4|0|13|18|15|13|3|3|7|7|5|16|18|22|22|27|25|13|4|9|2|0|3|4|0|0|0|0|0|0|0|2|2|0|1|0|0|8|11|10|5|2|0|0|0|0|0|0|0|0|0|0|0|0|3|4|1|0|0|0|0|0|0|1|0|2|10|5|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
AR|21|15|13|31|34|43|44|42|29|14|5|2|19|21|19|10|17|20|15|8|7|12|18|15|14|26|27|25|21|16|12|12|22|25|31|20|9|0|8|26|15|1|2|16|20|18|18|14|11|5|2|5|3|1|5|24|22|15|2|5|18|18|13|13|4|8|12|8|11|21|24|24|26|28|20|8|2|3|0|0|8|2|1|4|5|3|2|1|6|7|6|4|1|0|8|11|11|5|0|0|2|1|0|0|0|0|0|0|0|0|2|9|6|5|1|1|9|2|0|2|7|3|4|9|5|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|4|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
AZ|16|19|18|15|14|14|17|12|11|11|12|13|12|11|16|16|17|17|20|20|18|20|17|21|25|25|24|20|16|11|12|12|12|11|10|10|12|9|6|3|1|3|6|8|9|9|10|10|11|16|12|8|7|14|19|18|17|16|14|15|12|9|7|8|13|11|6|2|1|1|1|1|0|0|0|0|0|0|0|0|1|10|8|6|6|5|7|3|2|9|11|7|4|6|4|1|1|1|4|4|1|1|0|1|1|1|1|0|0|0|1|0|0|0|1|1|0|1|5|2|1|0|0|0|0|0|2|2|7|6|1|0|0|0|1|4|2|2|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
CA|21|22|19|17|16|20|18|10|13|15|15|18|20|17|18|17|18|19|18|19|19|19|20|22|22|22|20|15|12|10|10|13|14|13|12|15|14|11|7|6|9|14|13|11|9|8|11|14|15|17|14|11|16|21|22|21|21|20|18|16|11|9|13|18|21|16|10|5|4|3|2|2|1|2|3|3|4|4|7|8|11|13|13|11|11|11|9|5|8|10|7|5|7|6|3|5|8|12|13|10|9|7|10|12|9|8|7|5|5|6|2|3|4|8|7|5|4|5|3|2|0|0|0|0|1|10|12|7|4|6|3|6|8|10|11|11|9|4|0|0|0|0|0|0|5|5|3|1|0|1|2|0|0|0|0|0|0|0|2|2|4|7|7|2|0|0|0|0|0|0|0|0|0|0|0|0
CO|37|37|46|49|56|61|57|41|26|27|27|38|38|35|38|36|36|34|33|34|37|34|30|39|46|48|46|40|31|27|26|35|42|42|29|26|24|23|26|20|13|17|30|30|31|27|21|23|21|21|21|17|19|33|45|45|42|34|37|38|35|28|23|19|24|33|23|18|24|25|22|27|19|14|12|14|11|8|10|16|14|11|22|22|22|21|24|22|19|25|29|22|23|30|29|22|13|8|18|23|20|14|11|9|13|15|11|11|10|18|24|22|14|13|19|24|22|27|34|26|20|20|20|15|9|4|4|8|11|15|14|9|4|6|5|9|13|24|27|21|17|15|17|8|6|9|13|12|11|8|5|4|4|5|2|1|2|1|1|0|0|0|0|5|2|0|0|0|0|0|0|0|0|6|4|3
CT|29|34|29|22|36|38|45|50|53|42|29|17|20|40|36|37|33|29|26|28|21|21|27|29|26|23|26|30|30|37|43|34|34|40|41|35|31|32|22|33|46|37|37|35|38|33|35|34|28|21|25|32|24|18|12|9|27|27|22|15|16|34|45|44|38|28|17|19|31|47|46|43|39|43|38|33|36|30|26|23|31|38|32|23|29|26|25|19|26|29|27|18|19|23|18|20|20|21|18|10|3|6|15|16|16|1|2|14|21|12|16|16|13|14|15|10|6|0|0|8|9|3|8|16|13|7|11|18|19|16|15|13|15|13|10|3|0|0|0|3|9|12|5|4|10|7|5|3|11|9|3|0|6|8|7|7|12|5|6|2|0|0|0|0|0|2|2|0|0|0|0|0|0|0|0|0
DE|21|25|20|16|34|34|42|47|49|39|23|9|11|31|29|32|26|18|20|27|21|19|20|24|18|15|25|28|29|31|30|26|25|34|36|28|23|14|6|25|37|23|22|26|30|25|30|30|19|7|16|23|17|7|4|3|25|24|13|4|15|29|36|38|30|14|11|8|21|37|36|35|31|39|34|29|22|23|23|17|20|32|23|4|20|9|9|11|22|18|18|15|12|1|5|9|17|17|15|6|0|0|8|9|7|0|0|7|12|1|3|10|12|13|10|6|0|0|0|0|0|0|4|11|4|4|12|14|12|8|10|11|12|5|4|3|0|0|0|0|6|4|4|3|1|0|1|0|2|5|0|0|0|1|0|0|0|5|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
FL|1|0|0|1|2|1|3|18|13|7|2|0|0|0|0|0|0|0|0|0|0|0|1|2|2|0|3|10|12|10|8|5|2|1|2|2|1|0|0|0|4|1|0|0|0|0|3|5|2|0|0|0|0|0|0|0|2|0|0|0|0|2|3|1|0|0|0|0|0|1|1|2|3|11|13|8|3|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
GA|18|10|6|13|21|25|33|37|33|23|14|6|5|5|5|7|4|2|5|2|5|6|12|12|11|11|23|24|23|21|13|11|10|13|25|22|14|10|7|15|20|13|2|9|12|12|18|14|15|7|7|7|4|2|1|5|17|15|7|1|12|19|18|15|8|5|6|9|7|16|20|25|23|30|26|19|10|11|10|2|3|9|4|1|0|0|0|0|0|1|2|2|2|0|3|9|11|11|8|4|1|0|0|0|0|0|0|0|0|0|0|0|2|5|0|0|0|0|0|0|0|1|0|2|9|6|6|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
IA|39|37|36|58|59|63|58|55|46|36|39|49|52|45|42|37|33|30|31|29|26|31|32|33|33|38|41|41|38|34|33|35|47|46|40|38|30|32|47|50|34|27|26|30|29|33|26|16|18|16|17|15|12|24|32|43|35|30|24|29|37|39|28|20|8|21|23|30|43|43|41|42|48|47|38|24|25|19|16|22|31|25|16|24|22|20|18|23|24|23|21|21|17|15|19|21|21|11|3|10|18|14|10|6|1|6|8|6|7|13|17|13|11|8|7|17|24|26|24|23|21|16|17|13|9|8|7|3|3|6|5|5|1|0|0|0|0|4|16|12|15|9|11|10|7|2|2|0|3|4|5|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5
ID|50|49|50|48|57|65|60|46|34|34|35|45|51|52|54|56|54|46|36|33|34|35|36|38|43|41|46|46|47|46|43|42|43|39|33|28|26|32|32|26|24|30|37|37|35|35|29|27|27|25|25|24|31|36|38|42|41|38|38|34|32|30|26|28|35|33|26|21|18|23|21|20|17|16|17|17|17|17|18|16|18|21|24|22|24|23|24|22|22|19|20|19|26|26|20|15|14|23|26|25|24|17|18|25|25|20|19|16|18|21|21|18|17|19|19|21|23|23|20|17|18|15|12|6|4|10|14|13|11|7|4|11|21|20|18|20|25|19|13|10|8|5|2|6|14|12|8|4|2|1|0|3|4|1|1|4|1|0|1|7|12|11|12|12|8|6|4|3|1|0|0|0|2|2|1|0
IL|36|33|28|50|54|60|56|54|43|27|29|37|43|39|37|30|28|29|29|24|16|23|27|27|26|33|37|38|38|38|33|30|44|43|42|35|26|23|36|46|36|24|24|31|26|32|28|17|14|14|12|9|8|16|19|38|31|24|16|18|33|37|29|20|13|14|19|25|34|39|38|39|41|42|36|26|25|24|19|20|31|26|9|17|14|15|18|20|20|24|19|18|14|13|19|20|20|13|5|1|15|15|11|5|0|1|6|6|4|5|16|14|11|8|3|0|16|16|17|15|14|17|19|17|13|13|15|13|11|7|6|6|2|1|0|0|0|0|14|7|7|5|6|8|4|2|0|0|0|1|3|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2
IN|32|27|22|41|49|58|57|54|42|27|21|20|36|36|34|23|19|28|25|20|11|16|22|25|20|30|35|37|38|37|33|28|39|41|41|32|24|17|30|44|34|20|17|29|25|30|30|17|13|12|14|12|8|7|5|31|32|25|14|12|30|35|30|19|15|11|17|20|30|37|38|38|41|41|36|31|26|24|19|17|32|25|10|3|7|10|15|15|11|16|18|15|10|10|14|23|21|18|7|1|8|13|9|4|0|0|5|4|0|0|12|15|12|8|3|0|5|12|8|4|8|14|18|18|15|16|17|17|12|3|6|6|5|1|0|0|0|0|4|2|1|6|3|5|5|2|0|0|0|1|1|1|0|0|0|0|0|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
KS|29|24|34|47|52|54|50|42|30|22|17|43|43|37|34|28|25|24|25|19|21|23|26|21|31|34|31|28|22|17|23|28|39|38|26|25|19|20|38|35|16|8|18|25|22|23|14|10|11|11|9|9|7|9|29|34|28|20|14|22|25|20|14|9|0|17|15|12|30|31|31|33|34|29|14|9|11|0|1|9|15|3|2|18|17|15|15|13|18|19|18|14|9|17|14|16|13|4|0|7|13|8|3|0|0|2|3|0|0|3|12|11|12|6|5|17|17|12|19|20|14|11|12|10|6|0|0|0|0|0|1|3|3|0|0|0|0|1|3|8|7|7|6|8|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
KY|23|14|11|30|39|47|51|49|39|26|13|6|25|22|24|14|11|20|18|11|9|12|16|22|17|26|31|29|32|30|22|21|30|35|37|26|19|13|14|34|26|15|4|26|25|23|26|16|17|12|11|9|6|4|1|20|28|22|11|5|24|29|24|18|14|9|15|11|21|31|31|28|34|38|34|28|18|22|14|12|21|18|8|0|3|4|8|6|1|11|17|9|6|2|1|16|17|15|8|1|0|4|2|0|0|0|0|0|0|0|1|12|13|6|2|0|1|2|0|0|2|4|8|8|11|15|13|11|4|0|0|3|3|0|0|0|0|0|0|0|0|2|1|2|4|0|0|0|0|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
LA|2|1|3|11|15|24|34|31|22|7|1|0|0|1|2|0|2|2|1|0|1|2|7|8|3|12|20|17|14|10|6|3|3|12|16|7|1|0|0|8|7|0|0|1|2|10|14|14|5|0|0|1|1|0|0|7|10|2|0|0|7|10|9|6|0|0|3|0|0|2|11|11|15|16|12|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|5|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|2|1|0|0|1|0|0|0|0|0|0|2|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
MA|29|35|30|24|36|38|45|50|54|41|27|17|20|42|37|38|34|31|27|30|22|24|30|27|27|23|26|29|30|38|43|35|35|40|41|34|33|33|25|33|49|44|39|37|39|36|34|35|30|20|27|33|23|17|12|9|25|27|23|15|17|36|49|45|39|31|18|22|32|49|49|43|37|42|39|35|38|32|26|25|31|38|34|27|32|28|27|23|26|29|30|21|21|26|23|22|19|23|17|9|3|8|17|17|15|1|2|17|22|14|19|20|15|12|17|12|7|0|0|11|14|8|12|15|16|7|9|18|21|16|13|15|16|18|13|3|0|0|0|5|11|13|6|5|12|11|6|5|13|10|4|2|6|9|7|10|13|6|5|2|0|0|0|0|0|4|2|0|0|0|0|0|0|0|0|0
